Participant,Practice,Block,Trial,OC,VV
0,true,0,0,Small,VV1
0,true,0,1,Medium,VV1VV2
0,false,1,0,Medium,VV1VV2
0,false,1,1,Small,VV1VV2
0,false,1,2,Large,VV1VV2
0,false,1,3,Large,VV1VV2
0,false,1,4,Large,VV1VV2
0,false,1,5,Medium,VV1VV2
0,false,1,6,Medium,VV1VV2
0,false,1,7,Medium,VV1VV2
0,false,1,8,Small,VV1VV2
0,false,1,9,Small,VV1VV2
0,false,1,10,Medium,VV1VV2
0,false,1,11,Small,VV1VV2
0,false,1,12,Large,VV1VV2
0,false,1,13,Large,VV1VV2
0,false,1,14,Small,VV1VV2
0,false,2,0,Large,VV2
0,false,2,1,Large,VV2
0,false,2,2,Medium,VV2
0,false,2,3,Medium,VV2
0,false,2,4,Medium,VV2
0,false,2,5,Medium,VV2
0,false,2,6,Large,VV2
0,false,2,7,Small,VV2
0,false,2,8,Small,VV2
0,false,2,9,Large,VV2
0,false,2,10,Small,VV2
0,false,2,11,Small,VV2
0,false,2,12,Large,VV2
0,false,2,13,Medium,VV2
0,false,2,14,Small,VV2
0,false,3,0,Medium,VV1
0,false,3,1,Large,VV1
0,false,3,2,Small,VV1
0,false,3,3,Large,VV1
0,false,3,4,Large,VV1
0,false,3,5,Medium,VV1
0,false,3,6,Small,VV1
0,false,3,7,Large,VV1
0,false,3,8,Small,VV1
0,false,3,9,Small,VV1
0,false,3,10,Medium,VV1
0,false,3,11,Small,VV1
0,false,3,12,Large,VV1
0,false,3,13,Medium,VV1
0,false,3,14,Medium,VV1
1,true,0,0,Large,VV1
1,true,0,1,Medium,VV2
1,false,1,0,Large,VV2
1,false,1,1,Small,VV2
1,false,1,2,Medium,VV2
1,false,1,3,Large,VV2
1,false,1,4,Medium,VV2
1,false,1,5,Small,VV2
1,false,1,6,Large,VV2
1,false,1,7,Medium,VV2
1,false,1,8,Medium,VV2
1,false,1,9,Large,VV2
1,false,1,10,Small,VV2
1,false,1,11,Medium,VV2
1,false,1,12,Large,VV2
1,false,1,13,Small,VV2
1,false,1,14,Small,VV2
1,false,2,0,Large,VV1
1,false,2,1,Small,VV1
1,false,2,2,Small,VV1
1,false,2,3,Medium,VV1
1,false,2,4,Small,VV1
1,false,2,5,Medium,VV1
1,false,2,6,Large,VV1
1,false,2,7,Large,VV1
1,false,2,8,Large,VV1
1,false,2,9,Medium,VV1
1,false,2,10,Small,VV1
1,false,2,11,Large,VV1
1,false,2,12,Medium,VV1
1,false,2,13,Medium,VV1
1,false,2,14,Small,VV1
1,false,3,0,Large,VV1VV2
1,false,3,1,Large,VV1VV2
1,false,3,2,Medium,VV1VV2
1,false,3,3,Small,VV1VV2
1,false,3,4,Large,VV1VV2
1,false,3,5,Medium,VV1VV2
1,false,3,6,Small,VV1VV2
1,false,3,7,Small,VV1VV2
1,false,3,8,Medium,VV1VV2
1,false,3,9,Medium,VV1VV2
1,false,3,10,Medium,VV1VV2
1,false,3,11,Small,VV1VV2
1,false,3,12,Large,VV1VV2
1,false,3,13,Large,VV1VV2
1,false,3,14,Small,VV1VV2
2,true,0,0,Large,VV1VV2
2,true,0,1,Medium,VV1
2,false,1,0,Medium,VV1
2,false,1,1,Small,VV1
2,false,1,2,Large,VV1
2,false,1,3,Medium,VV1
2,false,1,4,Medium,VV1
2,false,1,5,Medium,VV1
2,false,1,6,Medium,VV1
2,false,1,7,Large,VV1
2,false,1,8,Large,VV1
2,false,1,9,Large,VV1
2,false,1,10,Small,VV1
2,false,1,11,Large,VV1
2,false,1,12,Small,VV1
2,false,1,13,Small,VV1
2,false,1,14,Small,VV1
2,false,2,0,Small,VV1VV2
2,false,2,1,Medium,VV1VV2
2,false,2,2,Medium,VV1VV2
2,false,2,3,Small,VV1VV2
2,false,2,4,Large,VV1VV2
2,false,2,5,Medium,VV1VV2
2,false,2,6,Small,VV1VV2
2,false,2,7,Medium,VV1VV2
2,false,2,8,Large,VV1VV2
2,false,2,9,Small,VV1VV2
2,false,2,10,Medium,VV1VV2
2,false,2,11,Large,VV1VV2
2,false,2,12,Large,VV1VV2
2,false,2,13,Large,VV1VV2
2,false,2,14,Small,VV1VV2
2,false,3,0,Large,VV2
2,false,3,1,Small,VV2
2,false,3,2,Small,VV2
2,false,3,3,Medium,VV2
2,false,3,4,Large,VV2
2,false,3,5,Large,VV2
2,false,3,6,Small,VV2
2,false,3,7,Medium,VV2
2,false,3,8,Medium,VV2
2,false,3,9,Small,VV2
2,false,3,10,Small,VV2
2,false,3,11,Medium,VV2
2,false,3,12,Large,VV2
2,false,3,13,Large,VV2
2,false,3,14,Medium,VV2
3,true,0,0,Small,VV2
3,true,0,1,Medium,VV1
3,false,1,0,Small,VV1VV2
3,false,1,1,Small,VV1VV2
3,false,1,2,Small,VV1VV2
3,false,1,3,Large,VV1VV2
3,false,1,4,Large,VV1VV2
3,false,1,5,Small,VV1VV2
3,false,1,6,Medium,VV1VV2
3,false,1,7,Medium,VV1VV2
3,false,1,8,Small,VV1VV2
3,false,1,9,Medium,VV1VV2
3,false,1,10,Medium,VV1VV2
3,false,1,11,Large,VV1VV2
3,false,1,12,Medium,VV1VV2
3,false,1,13,Large,VV1VV2
3,false,1,14,Large,VV1VV2
3,false,2,0,Medium,VV2
3,false,2,1,Small,VV2
3,false,2,2,Medium,VV2
3,false,2,3,Large,VV2
3,false,2,4,Large,VV2
3,false,2,5,Large,VV2
3,false,2,6,Small,VV2
3,false,2,7,Medium,VV2
3,false,2,8,Small,VV2
3,false,2,9,Small,VV2
3,false,2,10,Large,VV2
3,false,2,11,Medium,VV2
3,false,2,12,Small,VV2
3,false,2,13,Large,VV2
3,false,2,14,Medium,VV2
3,false,3,0,Medium,VV1
3,false,3,1,Medium,VV1
3,false,3,2,Small,VV1
3,false,3,3,Small,VV1
3,false,3,4,Large,VV1
3,false,3,5,Medium,VV1
3,false,3,6,Small,VV1
3,false,3,7,Small,VV1
3,false,3,8,Large,VV1
3,false,3,9,Medium,VV1
3,false,3,10,Small,VV1
3,false,3,11,Large,VV1
3,false,3,12,Large,VV1
3,false,3,13,Medium,VV1
3,false,3,14,Large,VV1
4,true,0,0,Medium,VV1
4,true,0,1,Medium,VV2
4,false,1,0,Large,VV2
4,false,1,1,Medium,VV2
4,false,1,2,Medium,VV2
4,false,1,3,Medium,VV2
4,false,1,4,Medium,VV2
4,false,1,5,Large,VV2
4,false,1,6,Large,VV2
4,false,1,7,Small,VV2
4,false,1,8,Small,VV2
4,false,1,9,Medium,VV2
4,false,1,10,Small,VV2
4,false,1,11,Large,VV2
4,false,1,12,Large,VV2
4,false,1,13,Small,VV2
4,false,1,14,Small,VV2
4,false,2,0,Large,VV1
4,false,2,1,Medium,VV1
4,false,2,2,Large,VV1
4,false,2,3,Large,VV1
4,false,2,4,Small,VV1
4,false,2,5,Medium,VV1
4,false,2,6,Medium,VV1
4,false,2,7,Medium,VV1
4,false,2,8,Small,VV1
4,false,2,9,Large,VV1
4,false,2,10,Small,VV1
4,false,2,11,Small,VV1
4,false,2,12,Medium,VV1
4,false,2,13,Small,VV1
4,false,2,14,Large,VV1
4,false,3,0,Large,VV1VV2
4,false,3,1,Small,VV1VV2
4,false,3,2,Medium,VV1VV2
4,false,3,3,Small,VV1VV2
4,false,3,4,Large,VV1VV2
4,false,3,5,Medium,VV1VV2
4,false,3,6,Small,VV1VV2
4,false,3,7,Small,VV1VV2
4,false,3,8,Medium,VV1VV2
4,false,3,9,Large,VV1VV2
4,false,3,10,Medium,VV1VV2
4,false,3,11,Small,VV1VV2
4,false,3,12,Large,VV1VV2
4,false,3,13,Medium,VV1VV2
4,false,3,14,Large,VV1VV2
5,true,0,0,Large,VV1
5,true,0,1,Small,VV1
5,false,1,0,Large,VV1
5,false,1,1,Small,VV1
5,false,1,2,Small,VV1
5,false,1,3,Small,VV1
5,false,1,4,Large,VV1
5,false,1,5,Medium,VV1
5,false,1,6,Medium,VV1
5,false,1,7,Medium,VV1
5,false,1,8,Large,VV1
5,false,1,9,Large,VV1
5,false,1,10,Medium,VV1
5,false,1,11,Medium,VV1
5,false,1,12,Small,VV1
5,false,1,13,Small,VV1
5,false,1,14,Large,VV1
5,false,2,0,Small,VV1VV2
5,false,2,1,Small,VV1VV2
5,false,2,2,Large,VV1VV2
5,false,2,3,Medium,VV1VV2
5,false,2,4,Medium,VV1VV2
5,false,2,5,Large,VV1VV2
5,false,2,6,Medium,VV1VV2
5,false,2,7,Small,VV1VV2
5,false,2,8,Medium,VV1VV2
5,false,2,9,Small,VV1VV2
5,false,2,10,Large,VV1VV2
5,false,2,11,Medium,VV1VV2
5,false,2,12,Large,VV1VV2
5,false,2,13,Large,VV1VV2
5,false,2,14,Small,VV1VV2
5,false,3,0,Small,VV2
5,false,3,1,Medium,VV2
5,false,3,2,Large,VV2
5,false,3,3,Large,VV2
5,false,3,4,Medium,VV2
5,false,3,5,Large,VV2
5,false,3,6,Medium,VV2
5,false,3,7,Small,VV2
5,false,3,8,Small,VV2
5,false,3,9,Large,VV2
5,false,3,10,Medium,VV2
5,false,3,11,Small,VV2
5,false,3,12,Small,VV2
5,false,3,13,Medium,VV2
5,false,3,14,Large,VV2
